"PROBEID","SYMBOL","GENENAME"
"28122","216691_at",NA,NA
"28123","216692_at",NA,NA
"28124","216693_x_at","HDGFL3","HDGF like 3"
"28125","216694_at",NA,NA
"28126","216695_s_at","TNKS","tankyrase"
"28127","216696_s_at","PRODH2","proline dehydrogenase 2"
"28128","216697_at","TRIO","trio Rho guanine nucleotide exchange factor"
"28129","216698_x_at","OR7E12P","olfactory receptor family 7 subfamily E member 12 pseudogene"
"28130","216699_s_at","KLK1","kallikrein 1"
"28131","216700_at","TRIO","trio Rho guanine nucleotide exchange factor"
"28132","216701_at","C1orf68","chromosome 1 open reading frame 68"
"28133","216702_x_at",NA,NA
"28134","216703_at",NA,NA
"28135","216704_at",NA,NA
"28136","216705_s_at","ADA","adenosine deaminase"
"28137","216706_x_at","IGHG1","immunoglobulin heavy constant gamma 1 (G1m marker)"
"28138","216706_x_at","SKAP2","src kinase associated phosphoprotein 2"
"28139","216707_at",NA,NA
"28140","216708_x_at","IGLJ3","immunoglobulin lambda joining 3"
"28141","216709_at",NA,NA
"28142","216710_x_at","ZNF287","zinc finger protein 287"
"28143","216711_s_at","TAF1","TATA-box binding protein associated factor 1"
"28144","216712_at","TMEM132A","transmembrane protein 132A"
"28145","216712_at","SLC25A30","solute carrier family 25 member 30"
"28146","216713_at","KRIT1","KRIT1 ankyrin repeat containing"
"28147","216714_at","CCL13","C-C motif chemokine ligand 13"
"28148","216715_at",NA,NA
"28149","216716_at","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
"28150","216717_at","SUPT20H","SPT20 homolog, SAGA complex component"
"28151","216718_at","LINC00302","long intergenic non-protein coding RNA 302"
"28152","216719_s_at","RAB11FIP4","RAB11 family interacting protein 4"
"28153","216720_at","RAB11FIP4","RAB11 family interacting protein 4"
"28154","216720_at","CYP2U1","cytochrome P450 family 2 subfamily U member 1"
"28155","216721_at","TMEM132A","transmembrane protein 132A"
"28156","216721_at","SLC25A30","solute carrier family 25 member 30"
"28157","216722_at","VENTXP1","VENT homeobox pseudogene 1"
"28158","216723_at",NA,NA
"28159","216724_at","DCLK2","doublecortin like kinase 2"
"28160","216725_at","DCLK2","doublecortin like kinase 2"
"28161","216726_at","VENTXP1","VENT homeobox pseudogene 1"
"28162","216727_at","STK38","serine/threonine kinase 38"
"28163","216728_at",NA,NA
"28164","216729_at",NA,NA
"28165","216730_at",NA,NA
"28166","216731_s_at",NA,NA
"28167","216732_at",NA,NA
"28168","216733_s_at","GATM","glycine amidinotransferase"
"28169","216734_s_at","CXCR5","C-X-C motif chemokine receptor 5"
"28170","216735_x_at",NA,NA
"28171","216736_at","TM6SF2","transmembrane 6 superfamily member 2"
"28172","216737_at",NA,NA
"28173","216738_at",NA,NA
"28174","216739_at",NA,NA
"28175","216740_at",NA,NA
"28176","216741_at",NA,NA
"28177","216742_at",NA,NA
"28178","216743_at",NA,NA
"28179","216744_at",NA,NA
"28180","216745_x_at",NA,NA
"28181","216746_at",NA,NA
"28182","216747_at","APBB2","amyloid beta precursor protein binding family B member 2"
"28183","216748_at","PYHIN1","pyrin and HIN domain family member 1"
"28184","216749_at",NA,NA
"28185","216750_at","APBB2","amyloid beta precursor protein binding family B member 2"
"28186","216751_at",NA,NA
"28187","216752_at","PIK3R4","phosphoinositide-3-kinase regulatory subunit 4"
"28188","216753_at",NA,NA
"28189","216754_at",NA,NA
"28190","216755_at","OSBPL10","oxysterol binding protein like 10"
"28191","216756_at",NA,NA
"28192","216757_at",NA,NA
"28193","216758_at",NA,NA
"28194","216759_at","PLAAT2","phospholipase A and acyltransferase 2"
"28195","216760_at","PLAAT2","phospholipase A and acyltransferase 2"
"28196","216761_at",NA,NA
"28197","216762_at",NA,NA
"28198","216763_at",NA,NA
"28199","216764_at",NA,NA
"28200","216765_at","MAP2K5","mitogen-activated protein kinase kinase 5"
"28201","216766_at",NA,NA
"28202","216767_at",NA,NA
"28203","216768_x_at","TTC38","tetratricopeptide repeat domain 38"
"28204","216769_x_at",NA,NA
"28205","216770_at",NA,NA
"28206","216771_at",NA,NA
"28207","216772_at",NA,NA
"28208","216773_at",NA,NA
"28209","216774_at",NA,NA
"28210","216775_at","USP53","ubiquitin specific peptidase 53"
"28211","216776_at",NA,NA
"28212","216777_at",NA,NA
"28213","216778_s_at","CYLC1","cylicin 1"
"28214","216779_at","CYLC1","cylicin 1"
"28215","216780_at","ZNF443","zinc finger protein 443"
"28216","216781_at","CFAP74","cilia and flagella associated protein 74"
"28217","216782_at",NA,NA
"28218","216783_at",NA,NA
"28219","216784_at",NA,NA
"28220","216785_at",NA,NA
"28221","216786_at","FAM224A","family with sequence similarity 224 member A"
"28222","216787_at",NA,NA
"28223","216788_at","ZNF443","zinc finger protein 443"
"28224","216789_at","TMEM92-AS1","TMEM92 antisense RNA 1"
"28225","216790_at",NA,NA
"28226","216791_at",NA,NA
"28227","216792_at",NA,NA
"28228","216793_x_at","LOC100289518","immunoglobin superfamily member 21 pseudogene"
"28229","216794_at","LOC100289518","immunoglobin superfamily member 21 pseudogene"
"28230","216795_at",NA,NA
"28231","216796_s_at",NA,NA
"28232","216797_at",NA,NA
"28233","216798_at","RNH1","ribonuclease/angiogenin inhibitor 1"
"28234","216799_at",NA,NA
"28235","216800_at",NA,NA
"28236","216801_at","CROCC","ciliary rootlet coiled-coil, rootletin"
"28237","216802_at",NA,NA
"28238","216803_at","PDLIM5","PDZ and LIM domain 5"
"28239","216804_s_at","PDLIM5","PDZ and LIM domain 5"
"28240","216805_at",NA,NA
"28241","216806_at",NA,NA
"28242","216807_at","CFAP74","cilia and flagella associated protein 74"
"28243","216808_at","MIR622","microRNA 622"
"28244","216809_at","CYLC1","cylicin 1"
"28245","216810_at","KRTAP4-7","keratin associated protein 4-7"
"28246","216811_at",NA,NA
"28247","216812_at",NA,NA
"28248","216813_at",NA,NA
"28249","216814_at",NA,NA
"28250","216815_at",NA,NA
"28251","216816_at",NA,NA
"28252","216817_s_at","OR2H1","olfactory receptor family 2 subfamily H member 1"
"28253","216818_s_at","OR2J2","olfactory receptor family 2 subfamily J member 2"
"28254","216819_at",NA,NA
"28255","216820_at",NA,NA
"28256","216821_at",NA,NA
"28257","216822_x_at",NA,NA
"28258","216823_at","RPS3A","ribosomal protein S3A"
"28259","216823_at","SNORD73A","small nucleolar RNA, C/D box 73A"
"28260","216824_at",NA,NA
"28261","216825_s_at","MPL","MPL proto-oncogene, thrombopoietin receptor"
"28262","216826_at",NA,NA
"28263","216827_at",NA,NA
"28264","216828_at","MLLT10P1","MLLT10 pseudogene 1"
"28265","216828_at","LOC100505874","uncharacterized LOC100505874"
"28266","216829_at","IGKC","immunoglobulin kappa constant"
"28267","216829_at","IGK","immunoglobulin kappa locus"
"28268","216830_at","HERC2","HECT and RLD domain containing E3 ubiquitin protein ligase 2"
"28269","216830_at","HERC2P10","hect domain and RLD 2 pseudogene 10"
"28270","216831_s_at","RUNX1T1","RUNX1 translocation partner 1"
"28271","216832_at","RUNX1T1","RUNX1 translocation partner 1"
"28272","216833_x_at","GYPB","glycophorin B (MNS blood group)"
"28273","216834_at","RGS1","regulator of G protein signaling 1"
"28274","216835_s_at","DOK1","docking protein 1"
"28275","216836_s_at","ERBB2","erb-b2 receptor tyrosine kinase 2"
"28276","216837_at","EPHA5","EPH receptor A5"
"28277","216838_at","LINC01278","long intergenic non-protein coding RNA 1278"
"28278","216839_at","LAMA2","laminin subunit alpha 2"
"28279","216840_s_at","LAMA2","laminin subunit alpha 2"
"28280","216841_s_at","SOD2","superoxide dismutase 2"
"28281","216841_s_at","SOD2-OT1","SOD2 overlapping transcript 1"
"28282","216842_x_at",NA,NA
"28283","216843_x_at","PMS2P1","PMS1 homolog 2, mismatch repair system component pseudogene 1"
"28284","216844_at","ZC3H7B","zinc finger CCCH-type containing 7B"
"28285","216845_x_at","KMT2D","lysine methyltransferase 2D"
"28286","216846_at","IGLJ3","immunoglobulin lambda joining 3"
"28287","216846_at","CYAT1","immunoglobulin lambda light chain-like"
"28288","216847_at",NA,NA
"28289","216848_at",NA,NA
"28290","216849_at",NA,NA
"28291","216850_at","SNRPN","small nuclear ribonucleoprotein polypeptide N"
"28292","216850_at","IPW","imprinted in Prader-Willi syndrome"
"28293","216850_at","SNURF","SNRPN upstream reading frame"
"28294","216850_at","SNORD107","small nucleolar RNA, C/D box 107"
"28295","216850_at","PWARSN","Prader Willi/Angelman region RNA, SNRPN neighbor"
"28296","216850_at","SNORD116-4","small nucleolar RNA, C/D box 116-4"
"28297","216850_at","SNORD116-22","small nucleolar RNA, C/D box 116-22"
"28298","216850_at","SNORD115-7","small nucleolar RNA, C/D box 115-7"
"28299","216850_at","SNORD115-13","small nucleolar RNA, C/D box 115-13"
"28300","216850_at","SNORD115-26","small nucleolar RNA, C/D box 115-26"
"28301","216850_at","SNORD116-28","small nucleolar RNA, C/D box 116-28"
"28302","216851_at","IGLJ3","immunoglobulin lambda joining 3"
"28303","216852_x_at","IGLJ3","immunoglobulin lambda joining 3"
"28304","216853_x_at","IGLJ3","immunoglobulin lambda joining 3"
"28305","216854_at","GDF11","growth differentiation factor 11"
"28306","216855_s_at","HNRNPU","heterogeneous nuclear ribonucleoprotein U"
"28307","216856_s_at","DLEU2","deleted in lymphocytic leukemia 2"
"28308","216857_at","IL23A","interleukin 23 subunit alpha"
"28309","216858_x_at",NA,NA
"28310","216859_x_at",NA,NA
"28311","216860_s_at","GDF11","growth differentiation factor 11"
"28312","216861_at",NA,NA
"28313","216862_s_at","CMC4","C-X9-C motif containing 4"
"28314","216863_s_at","MORC2","MORC family CW-type zinc finger 2"
"28315","216864_at",NA,NA
"28316","216865_at","COL14A1","collagen type XIV alpha 1 chain"
"28317","216866_s_at","COL14A1","collagen type XIV alpha 1 chain"
"28318","216867_s_at","PDGFA","platelet derived growth factor subunit A"
"28319","216868_s_at",NA,NA
"28320","216869_at","PDE1C","phosphodiesterase 1C"
"28321","216870_x_at","DLEU2","deleted in lymphocytic leukemia 2"
"28322","216871_at","ZDHHC17","zinc finger DHHC-type containing 17"
"28323","216872_at",NA,NA
"28324","216873_s_at","ATP8B2","ATPase phospholipid transporting 8B2"
"28325","216874_at","LOC100505498","uncharacterized LOC100505498"
"28326","216875_x_at",NA,NA
"28327","216876_s_at","IL17A","interleukin 17A"
"28328","216877_at","LOC100505498","uncharacterized LOC100505498"
"28329","216878_x_at",NA,NA
"28330","216879_at",NA,NA
"28331","216880_at","RAD51B","RAD51 paralog B"
"28332","216881_x_at","PRB4","proline rich protein BstNI subfamily 4"
"28333","216882_s_at","NEBL","nebulette"
"28334","216883_x_at","PDE6D","phosphodiesterase 6D"
"28335","216884_at","PTPN12","protein tyrosine phosphatase non-receptor type 12"
"28336","216885_s_at","DCAF8","DDB1 and CUL4 associated factor 8"
"28337","216886_at","CHRNA4","cholinergic receptor nicotinic alpha 4 subunit"
"28338","216887_s_at","LDB3","LIM domain binding 3"
"28339","216888_at","LDB3","LIM domain binding 3"
"28340","216889_s_at","HNF4A","hepatocyte nuclear factor 4 alpha"
"28341","216890_at",NA,NA
"28342","216891_at",NA,NA
"28343","216892_at","IGHG1","immunoglobulin heavy constant gamma 1 (G1m marker)"
"28344","216893_s_at","COL4A3","collagen type IV alpha 3 chain"
"28345","216894_x_at","CDKN1C","cyclin dependent kinase inhibitor 1C"
"28346","216895_at","GABRG3","gamma-aminobutyric acid type A receptor gamma3 subunit"
"28347","216896_at","COL4A3","collagen type IV alpha 3 chain"
"28348","216897_s_at","FAM76A","family with sequence similarity 76 member A"
"28349","216898_s_at","COL4A3","collagen type IV alpha 3 chain"
"28350","216899_s_at","SKAP2","src kinase associated phosphoprotein 2"
"28351","216900_s_at","CHRNA4","cholinergic receptor nicotinic alpha 4 subunit"
"28352","216901_s_at","IKZF1","IKAROS family zinc finger 1"
"28353","216902_s_at","RRN3","RRN3 homolog, RNA polymerase I transcription factor"
"28354","216902_s_at","RRN3P2","RRN3 homolog, RNA polymerase I transcription factor pseudogene 2"
"28355","216902_s_at","RRN3P1","RRN3 homolog, RNA polymerase I transcription factor pseudogene 1"
"28356","216903_s_at","MICU1","mitochondrial calcium uptake 1"
"28357","216904_at","COL6A1","collagen type VI alpha 1 chain"
"28358","216905_s_at","ST14","suppression of tumorigenicity 14"
"28359","216906_at","ST14","suppression of tumorigenicity 14"
"28360","216907_x_at","KIR3DL2","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2"
"28361","216907_x_at","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
"28362","216908_x_at","RRN3P1","RRN3 homolog, RNA polymerase I transcription factor pseudogene 1"
"28363","216909_at","RRP12","ribosomal RNA processing 12 homolog"
"28364","216910_at","XPNPEP2","X-prolyl aminopeptidase 2"
"28365","216911_s_at","HIC2","HIC ZBTB transcriptional repressor 2"
"28366","216912_at","ARHGEF4","Rho guanine nucleotide exchange factor 4"
"28367","216913_s_at","RRP12","ribosomal RNA processing 12 homolog"
"28368","216914_at","CDC25C","cell division cycle 25C"
"28369","216915_s_at","PTPN12","protein tyrosine phosphatase non-receptor type 12"
"28370","216916_s_at","DLGAP2","DLG associated protein 2"
"28371","216917_s_at","SYCP1","synaptonemal complex protein 1"
"28372","216918_s_at","DST","dystonin"
"28373","216919_at","TP53I11","tumor protein p53 inducible protein 11"
"28374","216920_s_at","TARP","TCR gamma alternate reading frame protein"
"28375","216920_s_at","TRGC2","T cell receptor gamma constant 2"
"28376","216920_s_at","TRGV9","T cell receptor gamma variable 9"
"28377","216921_s_at","KRT35","keratin 35"
"28378","216922_x_at","DAZ1","deleted in azoospermia 1"
"28379","216922_x_at","DAZ3","deleted in azoospermia 3"
"28380","216922_x_at","DAZ2","deleted in azoospermia 2"
"28381","216922_x_at","DAZ4","deleted in azoospermia 4"
"28382","216923_at","RS1","retinoschisin 1"
"28383","216923_at","CDKL5","cyclin dependent kinase like 5"
"28384","216924_s_at","DRD2","dopamine receptor D2"
"28385","216925_s_at","TAL1","TAL bHLH transcription factor 1, erythroid differentiation factor"
"28386","216926_s_at","MAU2","MAU2 sister chromatid cohesion factor"
"28387","216927_at","MAU2","MAU2 sister chromatid cohesion factor"
"28388","216928_at","TAL1","TAL bHLH transcription factor 1, erythroid differentiation factor"
"28389","216929_x_at","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
"28390","216930_at","HNF1A","HNF1 homeobox A"
"28391","216931_at",NA,NA
"28392","216932_at",NA,NA
"28393","216933_x_at","APC","APC regulator of WNT signaling pathway"
"28394","216934_at",NA,NA
"28395","216935_at","LINC00302","long intergenic non-protein coding RNA 302"
"28396","216936_at",NA,NA
"28397","216937_s_at","RS1","retinoschisin 1"
"28398","216938_x_at","DRD2","dopamine receptor D2"
"28399","216939_s_at","HTR4","5-hydroxytryptamine receptor 4"
"28400","216940_x_at","YBX1","Y-box binding protein 1"
"28401","216941_s_at","TAF1B","TATA-box binding protein associated factor, RNA polymerase I subunit B"
"28402","216942_s_at","CD58","CD58 molecule"
"28403","216943_at",NA,NA
"28404","216944_s_at","ITPR1","inositol 1,4,5-trisphosphate receptor type 1"
"28405","216945_x_at","PASK","PAS domain containing serine/threonine kinase"
"28406","216946_at","HLA-DOA","major histocompatibility complex, class II, DO alpha"
"28407","216947_at","DES","desmin"
"28408","216948_at",NA,NA
"28409","216949_s_at","PKD1","polycystin 1, transient receptor potential channel interacting"
"28410","216950_s_at","FCGR1A","Fc fragment of IgG receptor Ia"
"28411","216950_s_at","FCGR1B","Fc fragment of IgG receptor Ib"
"28412","216950_s_at","FCGR1CP","Fc fragment of IgG receptor Ic, pseudogene"
"28413","216951_at","FCGR1A","Fc fragment of IgG receptor Ia"
"28414","216952_s_at","LMNB2","lamin B2"
"28415","216953_s_at","WT1","WT1 transcription factor"
"28416","216954_x_at","ATP5PO","ATP synthase peripheral stalk subunit OSCP"
"28417","216955_at","TAF1","TATA-box binding protein associated factor 1"
"28418","216956_s_at","ITGA2B","integrin subunit alpha 2b"
"28419","216957_at","USP22","ubiquitin specific peptidase 22"
"28420","216958_s_at","IVD","isovaleryl-CoA dehydrogenase"
"28421","216959_x_at","NRCAM","neuronal cell adhesion molecule"
"28422","216960_s_at","ZNF133","zinc finger protein 133"
"28423","216961_s_at","RPAIN","RPA interacting protein"
"28424","216962_at","RPAIN","RPA interacting protein"
"28425","216963_s_at","GAP43","growth associated protein 43"
"28426","216964_at","USP22","ubiquitin specific peptidase 22"
"28427","216965_x_at","SPART","spartin"
"28428","216966_at","ITGA2B","integrin subunit alpha 2b"
"28429","216967_at","GAP43","growth associated protein 43"
"28430","216968_at","MASP2","mannan binding lectin serine peptidase 2"
"28431","216969_s_at","KIF22","kinesin family member 22"
"28432","216970_at","RGS7","regulator of G protein signaling 7"
"28433","216971_s_at","PLEC","plectin"
"28434","216972_at","SPAM1","sperm adhesion molecule 1"
"28435","216973_s_at","HOXB7","homeobox B7"
"28436","216974_at","KITLG","KIT ligand"
"28437","216975_x_at","NPAS1","neuronal PAS domain protein 1"
"28438","216976_s_at","RYK","receptor like tyrosine kinase"
"28439","216977_x_at","SNRPA1","small nuclear ribonucleoprotein polypeptide A'"
"28440","216978_x_at",NA,NA
"28441","216979_at","NR4A3","nuclear receptor subfamily 4 group A member 3"
"28442","216980_s_at","SPN","sialophorin"
"28443","216981_x_at","SPN","sialophorin"
"28444","216982_x_at",NA,NA
"28445","216983_s_at","ZNF224","zinc finger protein 224"
"28446","216984_x_at","IGLJ3","immunoglobulin lambda joining 3"
"28447","216984_x_at","IGLC1","immunoglobulin lambda constant 1"
"28448","216984_x_at","IGLV@","immunoglobulin lambda variable cluster"
"28449","216984_x_at","CKAP2","cytoskeleton associated protein 2"
"28450","216984_x_at","IGLV1-44","immunoglobulin lambda variable 1-44"
"28451","216985_s_at","STX3","syntaxin 3"
"28452","216986_s_at","IRF4","interferon regulatory factor 4"
"28453","216987_at","IRF4","interferon regulatory factor 4"
"28454","216988_s_at","PTP4A2","protein tyrosine phosphatase 4A2"
"28455","216989_at","SPAM1","sperm adhesion molecule 1"
"28456","216990_at","GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
"28457","216991_at","ZNF224","zinc finger protein 224"
"28458","216992_s_at","GRM8","glutamate metabotropic receptor 8"
"28459","216993_s_at","COL11A2","collagen type XI alpha 2 chain"
"28460","216994_s_at","RUNX2","RUNX family transcription factor 2"
"28461","216995_x_at","MKRN2","makorin ring finger protein 2"
"28462","216996_s_at","FASTKD2","FAST kinase domains 2"
"28463","216997_x_at","TLE4","TLE family member 4, transcriptional corepressor"
"28464","216998_s_at","ADAM5","ADAM metallopeptidase domain 5 (pseudogene)"
"28465","216999_at","EPOR","erythropoietin receptor"
"28466","217000_at",NA,NA
"28467","217001_x_at","HLA-DOA","major histocompatibility complex, class II, DO alpha"
"28468","217002_s_at","HTR3A","5-hydroxytryptamine receptor 3A"
"28469","217003_s_at","ADAM5","ADAM metallopeptidase domain 5 (pseudogene)"
"28470","217004_s_at","MCF2","MCF.2 cell line derived transforming sequence"
"28471","217005_at","LDLR","low density lipoprotein receptor"
"28472","217006_x_at","FASN","fatty acid synthase"
"28473","217007_s_at","ADAM15","ADAM metallopeptidase domain 15"
"28474","217008_s_at","GRM7","glutamate metabotropic receptor 7"
"28475","217009_at","PGK2","phosphoglycerate kinase 2"
"28476","217010_s_at","CDC25C","cell division cycle 25C"
"28477","217011_at","GBX1","gastrulation brain homeobox 1"
"28478","217012_at",NA,NA
"28479","217013_at","AZGP1P1","AZGP1 pseudogene 1"
"28480","217014_s_at","AZGP1","alpha-2-glycoprotein 1, zinc-binding"
"28481","217014_s_at","AZGP1P1","AZGP1 pseudogene 1"
"28482","217015_at",NA,NA
"28483","217016_x_at","TMEM212","transmembrane protein 212"
"28484","217017_at","OSBPL10","oxysterol binding protein like 10"
"28485","217018_at","PDSS2","decaprenyl diphosphate synthase subunit 2"
"28486","217019_at",NA,NA
"28487","217020_at","RARB","retinoic acid receptor beta"
"28488","217021_at","CYB5A","cytochrome b5 type A"
"28489","217022_s_at","IGH","immunoglobulin heavy locus"
"28490","217022_s_at","IGHA1","immunoglobulin heavy constant alpha 1"
"28491","217022_s_at","IGHA2","immunoglobulin heavy constant alpha 2 (A2m marker)"
"28492","217023_x_at","TPSAB1","tryptase alpha/beta 1"
"28493","217023_x_at","TPSB2","tryptase beta 2 (gene/pseudogene)"
"28494","217024_x_at",NA,NA
"28495","217025_s_at","DBN1","drebrin 1"
"28496","217026_at","CFTR","cystic fibrosis transmembrane conductance regulator"
"28497","217027_x_at",NA,NA
"28498","217028_at","CXCR4","C-X-C motif chemokine receptor 4"
"28499","217029_at",NA,NA
"28500","217030_at","LOC101929550","uncharacterized LOC101929550"
"28501","217031_at","KRT84","keratin 84"
"28502","217032_at","FOXD4","forkhead box D4"
"28503","217032_at","FOXD4L1","forkhead box D4 like 1"
"28504","217033_x_at","NTRK3","neurotrophic receptor tyrosine kinase 3"
"28505","217034_at",NA,NA
"28506","217035_at","SKAP2","src kinase associated phosphoprotein 2"
"28507","217036_at",NA,NA
"28508","217037_at",NA,NA
"28509","217038_at",NA,NA
"28510","217039_x_at","ELK2AP","ETS transcription factor ELK2A, pseudogene"
"28511","217040_x_at","SOX15","SRY-box 15"
"28512","217041_at","NPTXR","neuronal pentraxin receptor"
"28513","217042_at","RDH11","retinol dehydrogenase 11"
"28514","217043_s_at","MFN1","mitofusin 1"
"28515","217044_s_at","PLEKHG3","pleckstrin homology and RhoGEF domain containing G3"
"28516","217045_x_at","NCR2","natural cytotoxicity triggering receptor 2"
"28517","217046_s_at","AGER","advanced glycosylation end-product specific receptor"
"28518","217047_s_at","FAM13A","family with sequence similarity 13 member A"
"28519","217048_at",NA,NA
"28520","217049_x_at","PCDH11Y","protocadherin 11 Y-linked"
"28521","217049_x_at","PCDH11X","protocadherin 11 X-linked"
"28522","217050_at","DIAPH2-AS1","DIAPH2 antisense RNA 1"
"28523","217051_s_at",NA,NA
"28524","217052_x_at",NA,NA
"28525","217053_x_at","ETV1","ETS variant 1"
"28526","217054_at","MUC3A","mucin 3A, cell surface associated"
"28527","217055_x_at",NA,NA
"28528","217056_at","YME1L1","YME1 like 1 ATPase"
"28529","217057_s_at","GNAS","GNAS complex locus"
"28530","217058_at","GNAS","GNAS complex locus"
"28531","217059_at","MUC7","mucin 7, secreted"
"28532","217060_at",NA,NA
"28533","217061_s_at","ETV1","ETS variant 1"
"28534","217062_at","DMPK","DM1 protein kinase"
"28535","217063_x_at","YME1L1","YME1 like 1 ATPase"
"28536","217065_at","YME1L1","YME1 like 1 ATPase"
"28537","217066_s_at","DMPK","DM1 protein kinase"
"28538","217067_s_at","DMP1","dentin matrix acidic phosphoprotein 1"
"28539","217068_at",NA,NA
"28540","217069_at","KMT2B","lysine methyltransferase 2B"
"28541","217070_at","MTHFR","methylenetetrahydrofolate reductase"
"28542","217071_s_at","MTHFR","methylenetetrahydrofolate reductase"
"28543","217072_at","CD300A","CD300a molecule"
"28544","217073_x_at","APOA1","apolipoprotein A1"
"28545","217074_at","SMOX","spermine oxidase"
"28546","217075_x_at","KMT2B","lysine methyltransferase 2B"
"28547","217076_s_at","HOXD3","homeobox D3"
"28548","217076_s_at","HOXD4","homeobox D4"
"28549","217076_s_at","LOC401021","uncharacterized LOC401021"
"28550","217077_s_at","GABBR2","gamma-aminobutyric acid type B receptor subunit 2"
"28551","217078_s_at","CD300A","CD300a molecule"
"28552","217079_at",NA,NA
"28553","217080_s_at","HOMER2","homer scaffold protein 2"
"28554","217081_at","OR2H2","olfactory receptor family 2 subfamily H member 2"
"28555","217082_at",NA,NA
"28556","217083_at",NA,NA
"28557","217084_at","IGHA1","immunoglobulin heavy constant alpha 1"
"28558","217084_at","IGHG1","immunoglobulin heavy constant gamma 1 (G1m marker)"
"28559","217084_at","IGHM","immunoglobulin heavy constant mu"
"28560","217084_at","IGHV4-31","immunoglobulin heavy variable 4-31"
"28561","217084_at","IGHV3-23","immunoglobulin heavy variable 3-23"
"28562","217085_at",NA,NA
"28563","217086_at","CHRNB3","cholinergic receptor nicotinic beta 3 subunit"
"28564","217087_at","C1orf68","chromosome 1 open reading frame 68"
"28565","217088_s_at","NCR1","natural cytotoxicity triggering receptor 1"
"28566","217090_at","ADAM3A","ADAM metallopeptidase domain 3A (pseudogene)"
"28567","217091_at",NA,NA
"28568","217092_x_at",NA,NA
"28569","217093_at","RNASE1","ribonuclease A family member 1, pancreatic"
"28570","217094_s_at","ITCH","itchy E3 ubiquitin protein ligase"
"28571","217095_x_at","NCR1","natural cytotoxicity triggering receptor 1"
"28572","217096_at","PCLO","piccolo presynaptic cytomatrix protein"
"28573","217097_s_at","PHTF2","putative homeodomain transcription factor 2"
"28574","217098_s_at","ZSCAN12","zinc finger and SCAN domain containing 12"
"28575","217099_s_at","GEMIN4","gem nuclear organelle associated protein 4"
"28576","217100_s_at","UBXN7","UBX domain protein 7"
"28577","217101_at","TTC39A","tetratricopeptide repeat domain 39A"
"28578","217102_at",NA,NA
"28579","217103_at","LDLR","low density lipoprotein receptor"
"28580","217104_at","ST20","suppressor of tumorigenicity 20"
"28581","217105_at",NA,NA
"28582","217106_x_at","DIMT1","DIMT1 rRNA methyltransferase and ribosome maturation factor"
"28583","217107_at",NA,NA
"28584","217108_at",NA,NA
"28585","217109_at","MUC4","mucin 4, cell surface associated"
"28586","217110_s_at","MUC4","mucin 4, cell surface associated"
"28587","217111_at","AMACR","alpha-methylacyl-CoA racemase"
"28588","217112_at","PDGFB","platelet derived growth factor subunit B"
"28589","217113_at","AMACR","alpha-methylacyl-CoA racemase"
"28590","217114_at","SNRNP200","small nuclear ribonucleoprotein U5 subunit 200"
"28591","217114_at","LOC101929240","U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene"
"28592","217115_at","MKRN7P","makorin ring finger protein 7, pseudogene"
"28593","217117_x_at","MUC3A","mucin 3A, cell surface associated"
"28594","217117_x_at","MUC3B","mucin 3B, cell surface associated"
"28595","217118_s_at","KIAA0930","KIAA0930"
"28596","217119_s_at","CXCR3","C-X-C motif chemokine receptor 3"
"28597","217120_s_at","MED14","mediator complex subunit 14"
"28598","217121_at","TNKS","tankyrase"
"28599","217122_s_at","SLC35E2A","solute carrier family 35 member E2A"
"28600","217122_s_at","SLC35E2B","solute carrier family 35 member E2B"
"28601","217123_x_at","PMCHL1","pro-melanin concentrating hormone like 1 (pseudogene)"
"28602","217124_at","IQCE","IQ motif containing E"
"28603","217125_at",NA,NA
"28604","217126_at",NA,NA
"28605","217127_at","CTH","cystathionine gamma-lyase"
"28606","217128_s_at","CAMK1G","calcium/calmodulin dependent protein kinase IG"
"28607","217129_at",NA,NA
"28608","217130_at",NA,NA
"28609","217131_at",NA,NA
"28610","217132_at",NA,NA
"28611","217133_x_at","CYP2B6","cytochrome P450 family 2 subfamily B member 6"
"28612","217134_at","MTAP","methylthioadenosine phosphorylase"
"28613","217135_x_at",NA,NA
"28614","217136_at","PPIAL4G","peptidylprolyl isomerase A like 4G"
"28615","217136_at","PPIAL4A","peptidylprolyl isomerase A like 4A"
"28616","217136_at","PPIAL4C","peptidylprolyl isomerase A like 4C"
"28617","217137_x_at",NA,NA
"28618","217138_x_at","IGLC1","immunoglobulin lambda constant 1"
"28619","217139_at","VDAC1","voltage dependent anion channel 1"
"28620","217140_s_at","VDAC1","voltage dependent anion channel 1"
"28621","217141_at","BTBD7","BTB domain containing 7"
"28622","217142_at",NA,NA
"28623","217143_s_at","YME1L1","YME1 like 1 ATPase"
"28624","217144_at",NA,NA
"28625","217145_at","IGKC","immunoglobulin kappa constant"
